path,label
C:\Projects\infrastructure-defect-detection\data\raw\Negative\10026.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\06209.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\00534.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\09164.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16961.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\09713.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\04226.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\08883.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16266.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\04579.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\12700.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\18235.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16405.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\13036_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\10511.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\17028.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\00824.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\00491.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\02890.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\15360_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\13590.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\03685.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\02372.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\11827_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\05699.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\19362_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\03529.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\10334_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\11289.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\02516.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\18812_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\10592.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\01701.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\07672.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16573.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\17541_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\08208.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\17693_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\19323_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\00796.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\06679.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\17407_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\15519.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\16963_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\09604.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\06229.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\15789_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\02062.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\05222.jpg,1
